match_id,tournament_id,p1_id,p2_id,p1_character,p2_character,p1_score,p2_score,Winner_id
1,26,3293,3210,Lexy,Halette,2,0,3293
2,77,4862,875,Kellie,Cassandry,2,0,4862
3,51,112,291,Livia,Remus,0,2,291
4,71,174,2150,Brunhilda,Ermina,2,1,174
5,91,803,1473,Sephira,Helaine,1,2,1473
6,31,674,3758,Mil,Rickey,0,2,3758
7,117,3645,2917,Fiorenze,Mord,1,2,2917
8,26,3525,4827,Kassandra,Raleigh,1,2,4827
9,37,4148,1526,Bernardo,Leta,0,2,1526
10,42,2477,174,Tull,Nevsa,1,2,174
11,48,1812,794,Graehme,Shadow,2,0,1812
12,44,3142,3002,Dario,Thorpe,0,2,3002
13,46,1697,3249,Keary,Nadean,2,1,1697
14,13,617,694,Carlynn,Piotr,2,0,617
15,33,4332,3484,Ruthy,Elvin,1,2,3484
16,13,1596,260,Karney,Donnie,1,2,260
17,48,3571,4453,Anthia,Gina,1,2,4453
18,99,4146,529,Kenyon,Valentia,0,2,529
19,16,339,910,Flemming,Flory,1,2,910
20,4,3055,4596,Calida,Rosalinde,1,2,4596
21,80,3815,1893,Evangelin,Lek,2,1,3815
22,71,1604,4965,Pen,Xenos,1,2,4965
23,89,257,1233,Carita,Lynea,1,2,1233
24,109,3017,773,Cindra,Merlina,1,2,773
25,67,1400,506,Titos,Grata,0,2,506
26,68,897,4796,Corena,Orin,1,2,4796
27,87,4383,4864,Sidonnie,Collie,2,1,4383
28,63,1244,1317,Gabi,Gina,2,0,1244
29,12,4838,1501,Phelia,Osmond,1,2,1501
30,37,2872,1684,Phillipp,Donal,2,1,2872
31,16,41,2517,Martin,Ariela,2,0,41
32,61,2158,2759,Selia,Carlye,0,2,2759
33,69,4756,1761,Tanhya,Avie,2,1,4756
34,62,2959,1373,Arny,Briney,1,2,1373
35,31,1647,4256,Marijn,Caye,0,2,4256
36,75,105,1544,Harry,Eran,0,2,1544
37,73,3818,876,Luce,Gerrilee,1,2,876
38,116,1935,4375,David,Vaughn,1,2,4375
39,65,2208,1754,Cheryl,Randell,0,2,1754
40,34,671,4674,Flemming,Prudi,0,2,4674
41,106,1316,2047,Caron,Meagan,1,2,2047
42,58,3421,206,Ailina,Janna,1,2,206
43,14,890,4739,Rea,Lowe,0,2,4739
44,73,2373,4847,Kelci,Margery,1,2,4847
45,51,3404,2316,Koralle,Adelind,0,2,2316
46,12,2586,3570,Benito,Hilton,2,0,2586
47,101,2202,1781,Murielle,Goddart,2,1,2202
48,107,603,94,Marybeth,Cherice,2,0,603
49,77,3110,2275,Onfroi,Xylia,1,2,2275
50,79,3877,291,Ag,Denice,0,2,291
51,34,1202,4382,Philis,Dorita,2,1,1202
52,5,1661,4270,Aime,Reine,1,2,4270
53,114,524,2082,Lauree,Marietta,2,0,524
54,7,4121,4625,Chadd,Becki,2,0,4121
55,51,3841,4507,Freddi,Ingram,1,2,4507
56,56,4540,4944,Eada,Dee,0,2,4944
57,58,4284,157,Ally,Lois,2,0,4284
58,53,2501,2598,Dolli,Cornie,2,0,2501
59,45,3544,2431,Jyoti,Valentina,1,2,2431
60,42,113,4369,Wade,Dede,0,2,4369
61,60,4158,1124,Aleta,Brooke,1,2,1124
62,4,4429,3370,Daron,Berky,1,2,3370
63,76,202,4135,Gleda,Fiann,1,2,4135
64,62,1641,4219,Garv,Ermengarde,1,2,4219
65,66,1262,420,Devland,Chrotoem,2,1,1262
