player_id,player_name,player_tag
1,Allis Taberner,ataberner0
2,Hetti Ewdale,hewdale1
3,Kellby Dumphy,kdumphy2
4,Trudey Sanja,tsanja3
5,Ricky Scala,rscala4
6,Arel Normaville,anormaville5
7,Roanne Truin,rtruin6
8,Basia Burchett,bburchett7
9,Ewart Levee,elevee8
10,Dore Anscombe,danscombe9
11,Marcus Behnke,mbehnkea
12,Arri De Minico,adeb
13,Elyse Thorns,ethornsc
14,Jerad Yearnes,jyearnesd
15,Jennifer Grealish,jgrealishe
16,Rolph Lindemann,rlindemannf
17,Terza Dureden,tduredeng
18,Balduin MacTague,bmactagueh
19,Lucia Sola,lsolai
20,Syman Egginson,segginsonj
21,Stevana Scothorn,
22,Amalita Hoodspeth,ahoodspethl
23,Dulcinea Lorraine,dlorrainem
24,Colby Josselsohn,cjosselsohnn
25,Portia Grugerr,pgrugerro
26,Janean Hixley,jhixleyp
27,Ramsey Hewkin,rhewkinq
28,Max Gollard,
29,Flossie Nurdin,fnurdins
30,Elsworth Pattingson,
31,Berta Streetley,bstreetleyu
32,Guillaume Heddon,gheddonv
33,Hermann Heelis,hheelisw
34,Susette Tierney,stierneyx
35,Cordey Ballard,cballardy
36,Kurtis Esherwood,kesherwoodz
37,Tanner Bosma,tbosma10
38,Barnie Cawt,bcawt11
39,Myrtia Roseby,mroseby12
40,Dulcea Husband,
41,Sascha Fairlamb,sfairlamb14
42,Gray Rennels,grennels15
43,Chick Maseyk,
44,Beatrix Boshier,bboshier17
45,Hugo Pelchat,hpelchat18
46,Jasun Grellier,jgrellier19
47,Tandy Heindrick,theindrick1a
48,Emeline Abbiss,eabbiss1b
49,Erinn Wilcott,ewilcott1c
50,Hamil Purnell,hpurnell1d
51,Hadleigh Ollenbuttel,hollenbuttel1e
52,Ric Beadles,rbeadles1f
53,Hyacinthe Gloves,hgloves1g
54,Charisse Thorsen,cthorsen1h
55,Sasha Spoward,sspoward1i
56,Kimberley Von Welldun,
57,Genvieve Shearstone,gshearstone1k
58,Vale Manger,vmanger1l
59,Cosme Cholmondeley,ccholmondeley1m
60,Kasper Milvarnie,kmilvarnie1n
61,Gene Earry,gearry1o
62,Sheppard Belsham,sbelsham1p
63,Franny Wyley,fwyley1q
64,Ave Osmar,aosmar1r
65,Frederique Pady,fpady1s
66,Timothea Coulthart,tcoulthart1t
67,Adena Clardge,aclardge1u
68,Man Lared,mlared1v
